# Lee & Moser (2015), J. Fluid Mech. 774, 395-415
# Downloaded from https://turbulence.oden.utexas.edu/channel2015/data/LM_Channel_0550_mean_prof.dat
#                 https://turbulence.oden.utexas.edu/channel2015/data/LM_Channel_0550_vel_fluc_prof.dat
# Actual Re_tau = 543.496
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: reference R_vv (wall-normal) -> ww,
# reference R_ww (spanwise) -> vv, reference R_uv -> uw.
# Normalised by u_tau (stresses by u_tau^2).
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
7.585071e-02,4.122456e+01,1.439005e+01,4.769284e+00,1.866481e+00,9.181672e-01,-8.615765e-01
7.906325e-02,4.297056e+01,1.449627e+01,4.644204e+00,1.864670e+00,9.378489e-01,-8.620106e-01
8.233974e-02,4.475132e+01,1.459837e+01,4.526382e+00,1.861585e+00,9.558587e-01,-8.619780e-01
8.567996e-02,4.656672e+01,1.469677e+01,4.415586e+00,1.857331e+00,9.722480e-01,-8.615307e-01
8.908366e-02,4.841662e+01,1.479184e+01,4.311545e+00,1.852001e+00,9.870749e-01,-8.607184e-01
9.255062e-02,5.030090e+01,1.488392e+01,4.213970e+00,1.845688e+00,1.000402e+00,-8.595892e-01
9.608060e-02,5.221942e+01,1.497329e+01,4.122556e+00,1.838481e+00,1.012298e+00,-8.581846e-01
9.967334e-02,5.417207e+01,1.506022e+01,4.036965e+00,1.830461e+00,1.022829e+00,-8.565355e-01
1.033286e-01,5.615869e+01,1.514495e+01,3.956822e+00,1.821716e+00,1.032067e+00,-8.546600e-01
1.070461e-01,5.817915e+01,1.522769e+01,3.881730e+00,1.812335e+00,1.040081e+00,-8.525660e-01
1.108257e-01,6.023331e+01,1.530865e+01,3.811289e+00,1.802400e+00,1.046941e+00,-8.502586e-01
1.146669e-01,6.232103e+01,1.538796e+01,3.745122e+00,1.791960e+00,1.052721e+00,-8.477495e-01
1.185697e-01,6.444216e+01,1.546577e+01,3.682882e+00,1.781052e+00,1.057494e+00,-8.450576e-01
1.225337e-01,6.659656e+01,1.554220e+01,3.624254e+00,1.769713e+00,1.061336e+00,-8.422033e-01
1.265586e-01,6.878408e+01,1.561736e+01,3.568939e+00,1.757993e+00,1.064323e+00,-8.392042e-01
1.306441e-01,7.100456e+01,1.569133e+01,3.516646e+00,1.745943e+00,1.066527e+00,-8.360762e-01
1.347900e-01,7.325785e+01,1.576420e+01,3.467101e+00,1.733607e+00,1.068013e+00,-8.328291e-01
1.389960e-01,7.554379e+01,1.583605e+01,3.420070e+00,1.721027e+00,1.068839e+00,-8.294668e-01
1.432618e-01,7.786223e+01,1.590694e+01,3.375370e+00,1.708263e+00,1.069060e+00,-8.259895e-01
1.475871e-01,8.021301e+01,1.597694e+01,3.332830e+00,1.695363e+00,1.068719e+00,-8.223966e-01
1.519716e-01,8.259595e+01,1.604610e+01,3.292278e+00,1.682369e+00,1.067861e+00,-8.186949e-01
1.564149e-01,8.501090e+01,1.611449e+01,3.253518e+00,1.669324e+00,1.066528e+00,-8.148930e-01
1.609169e-01,8.745769e+01,1.618213e+01,3.216362e+00,1.656260e+00,1.064760e+00,-8.109977e-01
1.654771e-01,8.993614e+01,1.624908e+01,3.180669e+00,1.643160e+00,1.062600e+00,-8.070164e-01
1.700952e-01,9.244609e+01,1.631538e+01,3.146342e+00,1.630007e+00,1.060082e+00,-8.029604e-01
1.747710e-01,9.498736e+01,1.638107e+01,3.113266e+00,1.616802e+00,1.057239e+00,-7.988377e-01
1.795041e-01,9.755978e+01,1.644620e+01,3.081313e+00,1.603550e+00,1.054095e+00,-7.946523e-01
1.842942e-01,1.001632e+02,1.651078e+01,3.050364e+00,1.590245e+00,1.050674e+00,-7.904026e-01
1.891409e-01,1.027973e+02,1.657483e+01,3.020305e+00,1.576896e+00,1.047000e+00,-7.860808e-01
1.940439e-01,1.054621e+02,1.663837e+01,2.991035e+00,1.563542e+00,1.043095e+00,-7.816773e-01
1.990029e-01,1.081573e+02,1.670140e+01,2.962487e+00,1.550235e+00,1.038978e+00,-7.771930e-01
2.040175e-01,1.108827e+02,1.676392e+01,2.934591e+00,1.536991e+00,1.034669e+00,-7.726355e-01
2.090874e-01,1.136382e+02,1.682593e+01,2.907272e+00,1.523796e+00,1.030184e+00,-7.680105e-01
2.142122e-01,1.164235e+02,1.688744e+01,2.880470e+00,1.510666e+00,1.025540e+00,-7.633195e-01
2.193915e-01,1.192384e+02,1.694844e+01,2.854142e+00,1.497655e+00,1.020748e+00,-7.585619e-01
2.246251e-01,1.220829e+02,1.700897e+01,2.828235e+00,1.484782e+00,1.015815e+00,-7.537384e-01
2.299125e-01,1.249565e+02,1.706902e+01,2.802659e+00,1.472030e+00,1.010743e+00,-7.488436e-01
2.352534e-01,1.278593e+02,1.712862e+01,2.777333e+00,1.459385e+00,1.005533e+00,-7.438691e-01
2.406474e-01,1.307909e+02,1.718778e+01,2.752210e+00,1.446851e+00,1.000182e+00,-7.388106e-01
2.460941e-01,1.337512e+02,1.724651e+01,2.727262e+00,1.434412e+00,9.946908e-01,-7.336724e-01
2.515932e-01,1.367399e+02,1.730481e+01,2.702425e+00,1.422010e+00,9.890668e-01,-7.284652e-01
2.571442e-01,1.397569e+02,1.736270e+01,2.677605e+00,1.409607e+00,9.833254e-01,-7.232011e-01
2.627469e-01,1.428019e+02,1.742016e+01,2.652746e+00,1.397207e+00,9.774797e-01,-7.178851e-01
2.684007e-01,1.458747e+02,1.747723e+01,2.627845e+00,1.384840e+00,9.715364e-01,-7.125102e-01
2.741053e-01,1.489752e+02,1.753389e+01,2.602954e+00,1.372538e+00,9.654955e-01,-7.070680e-01
2.798604e-01,1.521030e+02,1.759019e+01,2.578167e+00,1.360309e+00,9.593553e-01,-7.015568e-01
2.856654e-01,1.552580e+02,1.764612e+01,2.553570e+00,1.348132e+00,9.531171e-01,-6.959809e-01
2.915201e-01,1.584400e+02,1.770170e+01,2.529182e+00,1.335992e+00,9.467847e-01,-6.903409e-01
2.974239e-01,1.616487e+02,1.775694e+01,2.504985e+00,1.323886e+00,9.403598e-01,-6.846348e-01
3.033765e-01,1.648839e+02,1.781184e+01,2.480935e+00,1.311803e+00,9.338422e-01,-6.788642e-01
3.093775e-01,1.681455e+02,1.786640e+01,2.456946e+00,1.299746e+00,9.272354e-01,-6.730368e-01
3.154265e-01,1.714331e+02,1.792063e+01,2.432920e+00,1.287756e+00,9.205494e-01,-6.671639e-01
3.215230e-01,1.747465e+02,1.797452e+01,2.408809e+00,1.275851e+00,9.137955e-01,-6.612523e-01
3.276666e-01,1.780855e+02,1.802806e+01,2.384639e+00,1.264009e+00,9.069796e-01,-6.553031e-01
3.338569e-01,1.814499e+02,1.808127e+01,2.360464e+00,1.252209e+00,9.001059e-01,-6.493132e-01
3.400935e-01,1.848395e+02,1.813413e+01,2.336316e+00,1.240433e+00,8.931782e-01,-6.432816e-01
3.463759e-01,1.882539e+02,1.818664e+01,2.312187e+00,1.228659e+00,8.861985e-01,-6.372020e-01
3.527036e-01,1.916930e+02,1.823884e+01,2.288067e+00,1.216888e+00,8.791651e-01,-6.310591e-01
3.590763e-01,1.951566e+02,1.829073e+01,2.263994e+00,1.205117e+00,8.720763e-01,-6.248427e-01
3.654936e-01,1.986443e+02,1.834232e+01,2.239989e+00,1.193316e+00,8.649348e-01,-6.185552e-01
3.719549e-01,2.021560e+02,1.839359e+01,2.216046e+00,1.181464e+00,8.577449e-01,-6.122029e-01
3.784598e-01,2.056914e+02,1.844454e+01,2.192170e+00,1.169576e+00,8.505108e-01,-6.057919e-01
3.850078e-01,2.092502e+02,1.849514e+01,2.168335e+00,1.157656e+00,8.432399e-01,-5.993377e-01
3.915986e-01,2.128323e+02,1.854537e+01,2.144499e+00,1.145687e+00,8.359424e-01,-5.928618e-01
3.982316e-01,2.164373e+02,1.859524e+01,2.120623e+00,1.133643e+00,8.286293e-01,-5.863709e-01
4.049064e-01,2.200650e+02,1.864474e+01,2.096667e+00,1.121517e+00,8.213095e-01,-5.798527e-01
4.116225e-01,2.237152e+02,1.869390e+01,2.072629e+00,1.109370e+00,8.139851e-01,-5.732846e-01
4.183795e-01,2.273876e+02,1.874273e+01,2.048568e+00,1.097300e+00,8.066494e-01,-5.666541e-01
4.251769e-01,2.310819e+02,1.879124e+01,2.024553e+00,1.085335e+00,7.992923e-01,-5.599663e-01
4.320141e-01,2.347980e+02,1.883943e+01,2.000625e+00,1.073406e+00,7.919055e-01,-5.532309e-01
4.388909e-01,2.385355e+02,1.888730e+01,1.976798e+00,1.061445e+00,7.844815e-01,-5.464540e-01
4.458066e-01,2.422941e+02,1.893484e+01,1.953078e+00,1.049412e+00,7.770172e-01,-5.396443e-01
4.527607e-01,2.460737e+02,1.898205e+01,1.929450e+00,1.037273e+00,7.695185e-01,-5.328105e-01
4.597529e-01,2.498739e+02,1.902893e+01,1.905866e+00,1.025025e+00,7.619974e-01,-5.259539e-01
4.667826e-01,2.536945e+02,1.907548e+01,1.882271e+00,1.012680e+00,7.544685e-01,-5.190725e-01
4.738493e-01,2.575352e+02,1.912170e+01,1.858624e+00,1.000239e+00,7.469432e-01,-5.121639e-01
4.809526e-01,2.613958e+02,1.916757e+01,1.834922e+00,9.877080e-01,7.394255e-01,-5.052289e-01
4.880919e-01,2.652760e+02,1.921310e+01,1.811179e+00,9.751115e-01,7.319114e-01,-4.982697e-01
4.952667e-01,2.691755e+02,1.925825e+01,1.787422e+00,9.624577e-01,7.243952e-01,-4.912853e-01
5.024766e-01,2.730940e+02,1.930304e+01,1.763653e+00,9.497425e-01,7.168749e-01,-4.842731e-01
5.097210e-01,2.770314e+02,1.934746e+01,1.739835e+00,9.369610e-01,7.093527e-01,-4.772296e-01
5.169995e-01,2.809872e+02,1.939153e+01,1.715938e+00,9.241220e-01,7.018337e-01,-4.701510e-01
5.243116e-01,2.849613e+02,1.943523e+01,1.691977e+00,9.112497e-01,6.943197e-01,-4.630367e-01
5.316566e-01,2.889533e+02,1.947858e+01,1.667938e+00,8.983741e-01,6.868098e-01,-4.558895e-01
5.390342e-01,2.929630e+02,1.952156e+01,1.643783e+00,8.855064e-01,6.793051e-01,-4.487079e-01
5.464438e-01,2.969900e+02,1.956419e+01,1.619513e+00,8.726455e-01,6.718054e-01,-4.414861e-01
5.538849e-01,3.010342e+02,1.960645e+01,1.595155e+00,8.597941e-01,6.643080e-01,-4.342232e-01
5.613569e-01,3.050953e+02,1.964832e+01,1.570766e+00,8.469487e-01,6.568128e-01,-4.269252e-01
5.688595e-01,3.091729e+02,1.968980e+01,1.546418e+00,8.341092e-01,6.493242e-01,-4.195994e-01
5.763919e-01,3.132667e+02,1.973086e+01,1.522149e+00,8.213008e-01,6.418490e-01,-4.122479e-01
5.839538e-01,3.173766e+02,1.977152e+01,1.497940e+00,8.085446e-01,6.343937e-01,-4.048664e-01
5.915446e-01,3.215021e+02,1.981176e+01,1.473780e+00,7.958366e-01,6.269644e-01,-3.974483e-01
5.991637e-01,3.256431e+02,1.985161e+01,1.449675e+00,7.831745e-01,6.195683e-01,-3.899898e-01
6.068107e-01,3.297992e+02,1.989104e+01,1.425634e+00,7.705625e-01,6.122140e-01,-3.824920e-01
6.144849e-01,3.339701e+02,1.993006e+01,1.401670e+00,7.580137e-01,6.049097e-01,-3.749598e-01
6.221860e-01,3.381556e+02,1.996864e+01,1.377818e+00,7.455362e-01,5.976636e-01,-3.673981e-01
6.299132e-01,3.423554e+02,2.000676e+01,1.354109e+00,7.331477e-01,5.904837e-01,-3.598045e-01
6.376662e-01,3.465691e+02,2.004442e+01,1.330563e+00,7.208704e-01,5.833761e-01,-3.521721e-01
6.454444e-01,3.507965e+02,2.008161e+01,1.307183e+00,7.087058e-01,5.763465e-01,-3.445023e-01
6.532471e-01,3.550372e+02,2.011833e+01,1.283973e+00,6.966481e-01,5.693996e-01,-3.368066e-01
6.610740e-01,3.592911e+02,2.015457e+01,1.260948e+00,6.847097e-01,5.625387e-01,-3.290972e-01
6.689243e-01,3.635577e+02,2.019031e+01,1.238113e+00,6.729260e-01,5.557679e-01,-3.213862e-01
6.767977e-01,3.678369e+02,2.022552e+01,1.215428e+00,6.613278e-01,5.490921e-01,-3.136773e-01
6.846935e-01,3.721282e+02,2.026021e+01,1.192857e+00,6.499046e-01,5.425134e-01,-3.059692e-01
6.926112e-01,3.764314e+02,2.029434e+01,1.170396e+00,6.386321e-01,5.360294e-01,-2.982571e-01
7.005502e-01,3.807463e+02,2.032791e+01,1.148045e+00,6.275059e-01,5.296345e-01,-2.905294e-01
7.085101e-01,3.850724e+02,2.036089e+01,1.125802e+00,6.165193e-01,5.233262e-01,-2.827769e-01
7.164901e-01,3.894096e+02,2.039327e+01,1.103673e+00,6.056507e-01,5.171079e-01,-2.749970e-01
7.244899e-01,3.937574e+02,2.042503e+01,1.081659e+00,5.948823e-01,5.109858e-01,-2.671900e-01
7.325088e-01,3.981156e+02,2.045615e+01,1.059783e+00,5.842168e-01,5.049670e-01,-2.593588e-01
7.405463e-01,4.024840e+02,2.048661e+01,1.038067e+00,5.736858e-01,4.990595e-01,-2.515065e-01
7.486018e-01,4.068621e+02,2.051640e+01,1.016529e+00,5.633200e-01,4.932752e-01,-2.436356e-01
7.566747e-01,4.112497e+02,2.054549e+01,9.952092e-01,5.531409e-01,4.876297e-01,-2.357507e-01
7.647646e-01,4.156465e+02,2.057384e+01,9.741681e-01,5.431754e-01,4.821376e-01,-2.278559e-01
7.728707e-01,4.200522e+02,2.060143e+01,9.534665e-01,5.334368e-01,4.768100e-01,-2.199529e-01
7.809927e-01,4.244664e+02,2.062824e+01,9.331309e-01,5.239305e-01,4.716527e-01,-2.120401e-01
7.891299e-01,4.288890e+02,2.065426e+01,9.131577e-01,5.146714e-01,4.666675e-01,-2.041111e-01
7.972817e-01,4.333194e+02,2.067951e+01,8.935577e-01,5.056777e-01,4.618525e-01,-1.961631e-01
8.054475e-01,4.377576e+02,2.070395e+01,8.743640e-01,4.969746e-01,4.572034e-01,-1.882018e-01
8.136269e-01,4.422030e+02,2.072758e+01,8.556045e-01,4.886093e-01,4.527164e-01,-1.802353e-01
8.218193e-01,4.466555e+02,2.075035e+01,8.373095e-01,4.806241e-01,4.483905e-01,-1.722664e-01
8.300240e-01,4.511147e+02,2.077224e+01,8.195333e-01,4.730200e-01,4.442279e-01,-1.642954e-01
8.382405e-01,4.555804e+02,2.079322e+01,8.023507e-01,4.657699e-01,4.402339e-01,-1.563261e-01
8.464682e-01,4.600521e+02,2.081325e+01,7.858247e-01,4.588479e-01,4.364151e-01,-1.483587e-01
8.547066e-01,4.645297e+02,2.083231e+01,7.700029e-01,4.522402e-01,4.327769e-01,-1.403895e-01
8.629551e-01,4.690127e+02,2.085039e+01,7.549222e-01,4.459474e-01,4.293236e-01,-1.324152e-01
8.712131e-01,4.735009e+02,2.086749e+01,7.405996e-01,4.399755e-01,4.260590e-01,-1.244315e-01
8.794801e-01,4.779939e+02,2.088360e+01,7.270320e-01,4.343275e-01,4.229870e-01,-1.164354e-01
8.877554e-01,4.824915e+02,2.089872e+01,7.142081e-01,4.290017e-01,4.201103e-01,-1.084295e-01
8.960385e-01,4.869934e+02,2.091283e+01,7.021326e-01,4.239979e-01,4.174297e-01,-1.004194e-01
9.043288e-01,4.914991e+02,2.092594e+01,6.908263e-01,4.193292e-01,4.149457e-01,-9.240936e-02
9.126258e-01,4.960085e+02,2.093803e+01,6.803174e-01,4.150122e-01,4.126608e-01,-8.439824e-02
9.209288e-01,5.005212e+02,2.094908e+01,6.706447e-01,4.110568e-01,4.105790e-01,-7.638277e-02
9.292374e-01,5.050368e+02,2.095909e+01,6.618471e-01,4.074743e-01,4.087027e-01,-6.836006e-02
9.375508e-01,5.095552e+02,2.096804e+01,6.539495e-01,4.042802e-01,4.070302e-01,-6.032568e-02
9.458686e-01,5.140759e+02,2.097593e+01,6.469830e-01,4.014838e-01,4.055588e-01,-5.227867e-02
9.541902e-01,5.185986e+02,2.098275e+01,6.409854e-01,3.990754e-01,4.042872e-01,-4.422376e-02
9.625149e-01,5.231230e+02,2.098849e+01,6.359682e-01,3.970381e-01,4.032170e-01,-3.616980e-02
9.708422e-01,5.276489e+02,2.099312e+01,6.319254e-01,3.953724e-01,4.023528e-01,-2.812336e-02
9.791716e-01,5.321759e+02,2.099663e+01,6.288644e-01,3.940958e-01,4.016998e-01,-2.008433e-02
9.875024e-01,5.367036e+02,2.099898e+01,6.268089e-01,3.932294e-01,4.012624e-01,-1.204935e-02
9.958340e-01,5.412319e+02,2.100016e+01,6.257785e-01,3.927903e-01,4.010430e-01,-4.016184e-03
