# Vreman & Kuerten, finite-difference 512x256x256
# Vreman & Kuerten, 'Comparison of DNS databases of turbulent
#   channel flow at Re_tau=180', Phys. Fluids 26, 015102 (2014)
# Downloaded from http://www.vremanresearch.nl/Chan180_FD2_basic_[uvw].txt
# Domain 4pi x 2 x 4pi/3, computed u_tau = 0.99996
# Actual Re_tau = 180.0
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: their v (wall-normal) -> ww,
# their w (spanwise) -> vv, their <u'v'> -> uw.
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
2.208259e-01,3.974867e+01,1.474386e+01,3.823852e+00,1.188531e+00,6.641092e-01,-7.080198e-01
2.273497e-01,4.092295e+01,1.482367e+01,3.715187e+00,1.186261e+00,6.725038e-01,-7.043184e-01
2.339719e-01,4.211494e+01,1.490127e+01,3.610643e+00,1.183319e+00,6.800329e-01,-7.003040e-01
2.406931e-01,4.332475e+01,1.497685e+01,3.510124e+00,1.179714e+00,6.867112e-01,-6.959912e-01
2.475138e-01,4.455248e+01,1.505056e+01,3.413495e+00,1.175458e+00,6.925566e-01,-6.913915e-01
2.544346e-01,4.579823e+01,1.512255e+01,3.320603e+00,1.170566e+00,6.975892e-01,-6.865145e-01
2.614561e-01,4.706210e+01,1.519297e+01,3.231286e+00,1.165056e+00,7.018310e-01,-6.813699e-01
2.685788e-01,4.834418e+01,1.526195e+01,3.145397e+00,1.158945e+00,7.053052e-01,-6.759685e-01
2.758030e-01,4.964454e+01,1.532962e+01,3.062808e+00,1.152250e+00,7.080359e-01,-6.703236e-01
2.831293e-01,5.096328e+01,1.539608e+01,2.983416e+00,1.144992e+00,7.100473e-01,-6.644502e-01
2.905580e-01,5.230045e+01,1.546143e+01,2.907120e+00,1.137192e+00,7.113639e-01,-6.583635e-01
2.980895e-01,5.365612e+01,1.552577e+01,2.833804e+00,1.128874e+00,7.120100e-01,-6.520772e-01
3.057241e-01,5.503034e+01,1.558917e+01,2.763333e+00,1.120058e+00,7.120098e-01,-6.456024e-01
3.134620e-01,5.642316e+01,1.565172e+01,2.695556e+00,1.110763e+00,7.113873e-01,-6.389485e-01
3.213035e-01,5.783463e+01,1.571347e+01,2.630320e+00,1.101000e+00,7.101669e-01,-6.321241e-01
3.292487e-01,5.926477e+01,1.577451e+01,2.567489e+00,1.090776e+00,7.083741e-01,-6.251377e-01
3.372978e-01,6.071361e+01,1.583487e+01,2.506941e+00,1.080093e+00,7.060353e-01,-6.179964e-01
3.454509e-01,6.218117e+01,1.589462e+01,2.448566e+00,1.068963e+00,7.031777e-01,-6.107057e-01
3.537080e-01,6.366744e+01,1.595378e+01,2.392257e+00,1.057408e+00,6.998282e-01,-6.032694e-01
3.620691e-01,6.517244e+01,1.601241e+01,2.337908e+00,1.045457e+00,6.960136e-01,-5.956892e-01
3.705342e-01,6.669615e+01,1.607053e+01,2.285407e+00,1.033137e+00,6.917596e-01,-5.879661e-01
3.791030e-01,6.823854e+01,1.612817e+01,2.234645e+00,1.020473e+00,6.870919e-01,-5.801015e-01
3.877755e-01,6.979960e+01,1.618536e+01,2.185517e+00,1.007486e+00,6.820364e-01,-5.720976e-01
3.965515e-01,7.137927e+01,1.624211e+01,2.137922e+00,9.941923e-01,6.766195e-01,-5.639574e-01
4.054306e-01,7.297751e+01,1.629843e+01,2.091746e+00,9.806063e-01,6.708678e-01,-5.556836e-01
4.144126e-01,7.459426e+01,1.635434e+01,2.046879e+00,9.667397e-01,6.648083e-01,-5.472797e-01
4.234969e-01,7.622945e+01,1.640985e+01,2.003226e+00,9.526064e-01,6.584677e-01,-5.387494e-01
4.326833e-01,7.788300e+01,1.646497e+01,1.960713e+00,9.382283e-01,6.518724e-01,-5.300973e-01
4.419712e-01,7.955482e+01,1.651971e+01,1.919285e+00,9.236358e-01,6.450482e-01,-5.213286e-01
4.513600e-01,8.124480e+01,1.657405e+01,1.878884e+00,9.088596e-01,6.380203e-01,-5.124477e-01
4.608491e-01,8.295284e+01,1.662801e+01,1.839429e+00,8.939241e-01,6.308141e-01,-5.034560e-01
4.704378e-01,8.467880e+01,1.668158e+01,1.800818e+00,8.788514e-01,6.234531e-01,-4.943514e-01
4.801253e-01,8.642255e+01,1.673477e+01,1.762943e+00,8.636695e-01,6.159595e-01,-4.851312e-01
4.899109e-01,8.818395e+01,1.678759e+01,1.725718e+00,8.484130e-01,6.083529e-01,-4.757957e-01
4.997936e-01,8.996284e+01,1.684004e+01,1.689091e+00,8.331212e-01,6.006516e-01,-4.663505e-01
5.097725e-01,9.175904e+01,1.689211e+01,1.653037e+00,8.178318e-01,5.928732e-01,-4.568038e-01
5.198466e-01,9.357238e+01,1.694378e+01,1.617540e+00,8.025692e-01,5.850354e-01,-4.471637e-01
5.300148e-01,9.540266e+01,1.699504e+01,1.582573e+00,7.873393e-01,5.771567e-01,-4.374358e-01
5.402759e-01,9.724967e+01,1.704586e+01,1.548096e+00,7.721348e-01,5.692560e-01,-4.276223e-01
5.506289e-01,9.911320e+01,1.709622e+01,1.514069e+00,7.569435e-01,5.613521e-01,-4.177234e-01
5.610723e-01,1.009930e+02,1.714610e+01,1.480456e+00,7.417578e-01,5.534633e-01,-4.077389e-01
5.716049e-01,1.028889e+02,1.719548e+01,1.447224e+00,7.265833e-01,5.456069e-01,-3.976688e-01
5.822253e-01,1.048005e+02,1.724433e+01,1.414340e+00,7.114393e-01,5.377989e-01,-3.875136e-01
5.929319e-01,1.067277e+02,1.729261e+01,1.381779e+00,6.963553e-01,5.300547e-01,-3.772748e-01
6.037232e-01,1.086702e+02,1.734030e+01,1.349538e+00,6.813629e-01,5.223890e-01,-3.669548e-01
6.145977e-01,1.106276e+02,1.738735e+01,1.317625e+00,6.664844e-01,5.148166e-01,-3.565571e-01
6.255537e-01,1.125997e+02,1.743373e+01,1.286050e+00,6.517326e-01,5.073522e-01,-3.460864e-01
6.365894e-01,1.145861e+02,1.747940e+01,1.254816e+00,6.371212e-01,5.000105e-01,-3.355469e-01
6.477030e-01,1.165865e+02,1.752431e+01,1.223916e+00,6.226728e-01,4.928054e-01,-3.249410e-01
6.588927e-01,1.186007e+02,1.756843e+01,1.193343e+00,6.084186e-01,4.857495e-01,-3.142704e-01
6.701566e-01,1.206282e+02,1.761171e+01,1.163096e+00,5.943928e-01,4.788539e-01,-3.035368e-01
6.814927e-01,1.226687e+02,1.765411e+01,1.133177e+00,5.806260e-01,4.721292e-01,-2.927420e-01
6.928989e-01,1.247218e+02,1.769559e+01,1.103594e+00,5.671419e-01,4.655854e-01,-2.818878e-01
7.043731e-01,1.267872e+02,1.773611e+01,1.074363e+00,5.539571e-01,4.592326e-01,-2.709765e-01
7.159133e-01,1.288644e+02,1.777561e+01,1.045520e+00,5.410851e-01,4.530798e-01,-2.600118e-01
7.275170e-01,1.309531e+02,1.781404e+01,1.017115e+00,5.285415e-01,4.471346e-01,-2.489988e-01
7.391822e-01,1.330528e+02,1.785136e+01,9.892001e-01,5.163464e-01,4.414035e-01,-2.379427e-01
7.509065e-01,1.351632e+02,1.788751e+01,9.618238e-01,5.045227e-01,4.358921e-01,-2.268477e-01
7.626875e-01,1.372837e+02,1.792243e+01,9.350373e-01,4.930911e-01,4.306067e-01,-2.157171e-01
7.745227e-01,1.394141e+02,1.795607e+01,9.088959e-01,4.820679e-01,4.255540e-01,-2.045527e-01
7.864097e-01,1.415537e+02,1.798837e+01,8.834564e-01,4.714666e-01,4.207412e-01,-1.933562e-01
7.983460e-01,1.437023e+02,1.801928e+01,8.587784e-01,4.613059e-01,4.161744e-01,-1.821283e-01
8.103290e-01,1.458592e+02,1.804874e+01,8.349275e-01,4.516159e-01,4.118578e-01,-1.708690e-01
8.223561e-01,1.480241e+02,1.807670e+01,8.119778e-01,4.424344e-01,4.077950e-01,-1.595786e-01
8.344246e-01,1.501964e+02,1.810311e+01,7.900126e-01,4.337949e-01,4.039893e-01,-1.482596e-01
8.465319e-01,1.523757e+02,1.812792e+01,7.691181e-01,4.257186e-01,4.004454e-01,-1.369170e-01
8.586753e-01,1.545615e+02,1.815106e+01,7.493786e-01,4.182170e-01,3.971685e-01,-1.255561e-01
8.708519e-01,1.567533e+02,1.817250e+01,7.308755e-01,4.112996e-01,3.941642e-01,-1.141802e-01
8.830590e-01,1.589506e+02,1.819217e+01,7.136933e-01,4.049789e-01,3.914374e-01,-1.027907e-01
8.952938e-01,1.611529e+02,1.821003e+01,6.979248e-01,3.992688e-01,3.889917e-01,-9.138951e-02
9.075534e-01,1.633596e+02,1.822604e+01,6.836677e-01,3.941788e-01,3.868295e-01,-7.997963e-02
9.198350e-01,1.655703e+02,1.824016e+01,6.710119e-01,3.897131e-01,3.849527e-01,-6.856459e-02
9.321357e-01,1.677844e+02,1.825234e+01,6.600309e-01,3.858750e-01,3.833629e-01,-5.714682e-02
9.444525e-01,1.700015e+02,1.826255e+01,6.507810e-01,3.826709e-01,3.820617e-01,-4.572673e-02
9.567826e-01,1.722209e+02,1.827075e+01,6.433086e-01,3.801071e-01,3.810498e-01,-3.430303e-02
9.691231e-01,1.744422e+02,1.827693e+01,6.376571e-01,3.781867e-01,3.803272e-01,-2.287395e-02
9.814709e-01,1.766648e+02,1.828106e+01,6.338650e-01,3.769085e-01,3.798937e-01,-1.143898e-02
9.938231e-01,1.788882e+02,1.828313e+01,6.319612e-01,3.762699e-01,3.797493e-01,-2.220624e-16
