# Moser, Kim & Mansour (1999), Phys. Fluids 11(4), 943-945
# Numerical method: Kim, Moin & Moser, 1987, J. Fluid Mech. vol 177, 133-166
# Downloaded from https://turbulence.oden.utexas.edu/data/MKM/chan395/profiles/chan395.means
#                 https://turbulence.oden.utexas.edu/data/MKM/chan395/profiles/chan395.reystress
#   (read from the bundle https://turbulence.oden.utexas.edu/data/MKM/chandata.tar.gz)
# Actual Re_tau = 392.24
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: reference R_vv (wall-normal) -> ww,
# reference R_ww (spanwise) -> vv, reference R_uv -> uw.
# Normalised by u_tau (stresses by u_tau^2).
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
1.754100e-01,6.880400e+01,1.561400e+01,3.255700e+00,1.575400e+00,9.945500e-01,-7.959200e-01
1.824200e-01,7.155100e+01,1.570700e+01,3.188600e+00,1.563700e+00,9.937900e-01,-7.896100e-01
1.895400e-01,7.434700e+01,1.579900e+01,3.126900e+00,1.551000e+00,9.918300e-01,-7.829600e-01
1.967900e-01,7.719100e+01,1.589000e+01,3.070200e+00,1.536700e+00,9.888700e-01,-7.761300e-01
2.041600e-01,8.008200e+01,1.597900e+01,3.017800e+00,1.521200e+00,9.851200e-01,-7.692900e-01
2.116500e-01,8.302000e+01,1.606700e+01,2.967800e+00,1.505200e+00,9.807500e-01,-7.624300e-01
2.192600e-01,8.600500e+01,1.615300e+01,2.919100e+00,1.488900e+00,9.758300e-01,-7.555200e-01
2.269900e-01,8.903500e+01,1.623900e+01,2.871200e+00,1.472100e+00,9.704400e-01,-7.485100e-01
2.348300e-01,9.211200e+01,1.632400e+01,2.823900e+00,1.455100e+00,9.646500e-01,-7.414600e-01
2.427900e-01,9.523400e+01,1.640900e+01,2.777600e+00,1.437900e+00,9.584600e-01,-7.344500e-01
2.508600e-01,9.840000e+01,1.649300e+01,2.732400e+00,1.420600e+00,9.517900e-01,-7.273700e-01
2.590500e-01,1.016100e+02,1.657600e+01,2.688300e+00,1.403500e+00,9.445900e-01,-7.201200e-01
2.673500e-01,1.048600e+02,1.665900e+01,2.645300e+00,1.386700e+00,9.367900e-01,-7.127100e-01
2.757500e-01,1.081600e+02,1.674100e+01,2.603100e+00,1.369600e+00,9.284500e-01,-7.052100e-01
2.842700e-01,1.115000e+02,1.682300e+01,2.561200e+00,1.351500e+00,9.197600e-01,-6.976100e-01
2.928900e-01,1.148900e+02,1.690300e+01,2.519600e+00,1.332200e+00,9.108700e-01,-6.898500e-01
3.016200e-01,1.183100e+02,1.698400e+01,2.479300e+00,1.311800e+00,9.018500e-01,-6.819200e-01
3.104600e-01,1.217800e+02,1.706300e+01,2.441100e+00,1.291000e+00,8.926800e-01,-6.739600e-01
3.194000e-01,1.252800e+02,1.714100e+01,2.405500e+00,1.270000e+00,8.833500e-01,-6.659800e-01
3.284400e-01,1.288300e+02,1.721800e+01,2.371400e+00,1.248800e+00,8.738500e-01,-6.579400e-01
3.375800e-01,1.324200e+02,1.729400e+01,2.338000e+00,1.227600e+00,8.641800e-01,-6.497700e-01
3.468300e-01,1.360400e+02,1.736900e+01,2.304600e+00,1.206600e+00,8.543600e-01,-6.414800e-01
3.561700e-01,1.397100e+02,1.744300e+01,2.270800e+00,1.185500e+00,8.443900e-01,-6.329800e-01
3.656100e-01,1.434100e+02,1.751700e+01,2.236500e+00,1.164100e+00,8.342100e-01,-6.241500e-01
3.751400e-01,1.471500e+02,1.759000e+01,2.202300e+00,1.142300e+00,8.236900e-01,-6.150000e-01
3.847700e-01,1.509200e+02,1.766400e+01,2.168200e+00,1.120200e+00,8.128500e-01,-6.055100e-01
3.944900e-01,1.547400e+02,1.773800e+01,2.133500e+00,1.098300e+00,8.018100e-01,-5.956100e-01
4.043000e-01,1.585800e+02,1.781200e+01,2.098300e+00,1.076700e+00,7.907400e-01,-5.853000e-01
4.142000e-01,1.624700e+02,1.788600e+01,2.063100e+00,1.055100e+00,7.796800e-01,-5.746000e-01
4.241900e-01,1.663900e+02,1.796000e+01,2.027700e+00,1.033900e+00,7.685600e-01,-5.635000e-01
4.342700e-01,1.703400e+02,1.803400e+01,1.992000e+00,1.013100e+00,7.573100e-01,-5.520400e-01
4.444300e-01,1.743300e+02,1.810800e+01,1.956800e+00,9.927900e-01,7.458800e-01,-5.404000e-01
4.546700e-01,1.783400e+02,1.818200e+01,1.922900e+00,9.725400e-01,7.342500e-01,-5.288300e-01
4.650000e-01,1.823900e+02,1.825400e+01,1.889600e+00,9.518700e-01,7.224900e-01,-5.174700e-01
4.754100e-01,1.864800e+02,1.832600e+01,1.856200e+00,9.305700e-01,7.106400e-01,-5.062600e-01
4.859000e-01,1.905900e+02,1.839600e+01,1.823200e+00,9.093600e-01,6.986200e-01,-4.950700e-01
4.964600e-01,1.947300e+02,1.846600e+01,1.790800e+00,8.892600e-01,6.864200e-01,-4.838600e-01
5.071000e-01,1.989100e+02,1.853500e+01,1.759100e+00,8.704200e-01,6.741700e-01,-4.726900e-01
5.178200e-01,2.031100e+02,1.860300e+01,1.727400e+00,8.524300e-01,6.620100e-01,-4.616400e-01
5.286000e-01,2.073400e+02,1.866900e+01,1.694800e+00,8.346900e-01,6.500700e-01,-4.507200e-01
