# Moser, Kim & Mansour (1999), Phys. Fluids 11(4), 943-945
# Downloaded from https://turbulence.oden.utexas.edu/data/MKM/chan590/profiles/chan590.means
#                 https://turbulence.oden.utexas.edu/data/MKM/chan590/profiles/chan590.reystress
# Actual Re_tau = 587.19
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: reference R_vv (wall-normal) -> ww,
# reference R_ww (spanwise) -> vv, reference R_uv -> uw.
# Normalised by u_tau (stresses by u_tau^2).
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
0.000000e+00,0.000000e+00,0.000000e+00,7.800300e-28,8.529200e-28,5.417900e-29,-3.411000e-32
7.529800e-05,4.421500e-02,4.423100e-02,3.206100e-04,1.312600e-04,5.247400e-10,-8.364300e-08
3.011800e-04,1.768500e-01,1.769900e-01,5.113600e-03,2.029700e-03,1.289400e-07,-5.416500e-06
6.776200e-04,3.978900e-01,3.981600e-01,2.578500e-02,9.738100e-03,3.091300e-06,-6.283800e-05
1.204500e-03,7.073000e-01,7.075000e-01,8.109600e-02,2.859100e-02,2.816800e-05,-3.610000e-04
1.881900e-03,1.105000e+00,1.104600e+00,1.968300e-01,6.362700e-02,1.494500e-04,-1.407900e-03
2.709500e-03,1.591000e+00,1.588600e+00,4.048200e-01,1.181600e-01,5.590300e-04,-4.272200e-03
3.687400e-03,2.165200e+00,2.157300e+00,7.397900e-01,1.929200e-01,1.634200e-03,-1.080600e-02
4.815300e-03,2.827500e+00,2.806100e+00,1.232100e+00,2.859100e-01,3.975000e-03,-2.366400e-02
6.093000e-03,3.577800e+00,3.527200e+00,1.895700e+00,3.931300e-01,8.387100e-03,-4.592300e-02
7.520500e-03,4.416000e+00,4.307800e+00,2.715700e+00,5.096700e-01,1.580800e-02,-8.024600e-02
9.097400e-03,5.341900e+00,5.130700e+00,3.642800e+00,6.309300e-01,2.720100e-02,-1.279100e-01
1.082300e-02,6.355500e+00,5.974800e+00,4.601400e+00,7.533300e-01,4.344800e-02,-1.881200e-01
1.269900e-02,7.456500e+00,6.817400e+00,5.507900e+00,8.744900e-01,6.526200e-02,-2.580500e-01
1.472200e-02,8.644900e+00,7.637500e+00,6.291500e+00,9.929000e-01,9.312700e-02,-3.335000e-01
1.689500e-02,9.920400e+00,8.417700e+00,6.907300e+00,1.107400e+00,1.272500e-01,-4.099100e-01
1.921500e-02,1.128300e+01,9.145500e+00,7.339000e+00,1.216600e+00,1.675400e-01,-4.832500e-01
2.168300e-02,1.273200e+01,9.814200e+00,7.594000e+00,1.319300e+00,2.135700e-01,-5.506600e-01
2.429800e-02,1.426800e+01,1.042100e+01,7.694300e+00,1.414000e+00,2.646300e-01,-6.104600e-01
2.706000e-02,1.589000e+01,1.096800e+01,7.668400e+00,1.499700e+00,3.197400e-01,-6.620600e-01
2.996900e-02,1.759700e+01,1.145800e+01,7.545600e+00,1.575800e+00,3.777700e-01,-7.056100e-01
3.302400e-02,1.939100e+01,1.189500e+01,7.352900e+00,1.642100e+00,4.375200e-01,-7.417200e-01
3.622400e-02,2.127000e+01,1.228700e+01,7.113200e+00,1.698600e+00,4.977800e-01,-7.712100e-01
3.956900e-02,2.323500e+01,1.263600e+01,6.844800e+00,1.746000e+00,5.574700e-01,-7.949500e-01
4.306000e-02,2.528400e+01,1.295000e+01,6.561900e+00,1.785000e+00,6.155600e-01,-8.138100e-01
4.669400e-02,2.741800e+01,1.323300e+01,6.276300e+00,1.816700e+00,6.712200e-01,-8.286300e-01
5.047200e-02,2.963700e+01,1.348900e+01,5.996600e+00,1.841700e+00,7.237900e-01,-8.401300e-01
5.439300e-02,3.193900e+01,1.372200e+01,5.728200e+00,1.860900e+00,7.728100e-01,-8.489000e-01
5.845600e-02,3.432500e+01,1.393500e+01,5.474600e+00,1.874600e+00,8.179900e-01,-8.553700e-01
6.266100e-02,3.679400e+01,1.413100e+01,5.237600e+00,1.883300e+00,8.591200e-01,-8.599000e-01
6.700700e-02,3.934600e+01,1.431300e+01,5.018300e+00,1.887400e+00,8.961200e-01,-8.628000e-01
7.149400e-02,4.198100e+01,1.448200e+01,4.816600e+00,1.887300e+00,9.290000e-01,-8.643400e-01
7.612000e-02,4.469800e+01,1.464000e+01,4.631800e+00,1.883700e+00,9.579100e-01,-8.646700e-01
8.088600e-02,4.749600e+01,1.478900e+01,4.462500e+00,1.877000e+00,9.830300e-01,-8.638800e-01
8.579000e-02,5.037600e+01,1.493100e+01,4.307600e+00,1.867700e+00,1.004600e+00,-8.621500e-01
9.083200e-02,5.333600e+01,1.506600e+01,4.166200e+00,1.856100e+00,1.022800e+00,-8.596700e-01
9.601100e-02,5.637700e+01,1.519600e+01,4.037100e+00,1.843100e+00,1.038000e+00,-8.566300e-01
1.013300e-01,5.949800e+01,1.532100e+01,3.919400e+00,1.829000e+00,1.050300e+00,-8.532300e-01
1.067800e-01,6.269800e+01,1.544200e+01,3.812500e+00,1.814000e+00,1.059900e+00,-8.496300e-01
1.123600e-01,6.597700e+01,1.556000e+01,3.715800e+00,1.797900e+00,1.067100e+00,-8.459100e-01
1.180800e-01,6.933500e+01,1.567400e+01,3.628300e+00,1.780300e+00,1.072200e+00,-8.419500e-01
1.239300e-01,7.277100e+01,1.578600e+01,3.548600e+00,1.761400e+00,1.075500e+00,-8.376000e-01
1.299100e-01,7.628400e+01,1.589600e+01,3.475300e+00,1.741800e+00,1.077300e+00,-8.328300e-01
1.360300e-01,7.987400e+01,1.600300e+01,3.407100e+00,1.722400e+00,1.077800e+00,-8.276600e-01
1.422700e-01,8.354100e+01,1.611000e+01,3.343600e+00,1.703300e+00,1.076900e+00,-8.221900e-01
1.486400e-01,8.728300e+01,1.621400e+01,3.284500e+00,1.684600e+00,1.074700e+00,-8.164600e-01
1.551500e-01,9.110100e+01,1.631700e+01,3.229100e+00,1.666000e+00,1.071500e+00,-8.104300e-01
1.617800e-01,9.499400e+01,1.641800e+01,3.177300e+00,1.647000e+00,1.067300e+00,-8.040700e-01
1.685300e-01,9.896000e+01,1.651800e+01,3.128700e+00,1.628000e+00,1.062500e+00,-7.974500e-01
1.754100e-01,1.030000e+02,1.661600e+01,3.083200e+00,1.609000e+00,1.056900e+00,-7.906700e-01
1.824200e-01,1.071100e+02,1.671300e+01,3.040700e+00,1.589600e+00,1.050900e+00,-7.838500e-01
